Time,constant
15-Mar-88,161.612
31-Mar-88,136.429
02-May-88,
18-May-88,
19-Jun-88,
05-Jul-88,
21-Jul-88,106.212
22-Aug-88,62.924
07-Sep-88,47.473
02-Mar-89,127.807
03-Apr-89,290.973
19-Apr-89,218.504
21-May-89,208.312
10-Sep-89,209.205
26-Sep-89,130.19
22-Apr-90,177.896
08-May-90,140.496
24-May-90,202.716
25-Jun-90,
12-Aug-90,38.413
28-Aug-90,80.611
13-Sep-90,238.278
09-Apr-91,199.476
25-Apr-91,175.134
11-May-91,104.357
12-Jun-91,
14-Jul-91,
30-Jul-91,
15-Aug-91,175.839
31-Aug-91,
10-Mar-92,58.361
26-Mar-92,
11-Apr-92,82.293
27-Apr-92,123.362
13-May-92,112.963
14-Jun-92,57.1
16-Jul-92,
17-Aug-92,32.346
02-Sep-92,10.301
13-Mar-93,109.751
29-Mar-93,151.223
14-Apr-93,181.703
16-May-93,
01-Jun-93,
17-Jun-93,117.115
03-Jul-93,
19-Jul-93,
04-Aug-93,
20-Aug-93,
21-Sep-93,87.809
16-Mar-94,93.235
01-Apr-94,215.897
17-Apr-94,165.578
03-May-94,
20-Jun-94,95.508
06-Jul-94,6.882
22-Jul-94,
07-Aug-94,
23-Aug-94,228.392
08-Sep-94,
24-Sep-94,176.364
19-Mar-95,
04-Apr-95,314.007
20-Apr-95,132.78
06-May-95,212.761
22-May-95,89.279
07-Jun-95,148.756
23-Jun-95,86.327
09-Jul-95,48.49
10-Aug-95,23.897
26-Aug-95,
11-Sep-95,238.437
27-Sep-95,114.118
05-Mar-96,231.388
21-Mar-96,278.753
06-Apr-96,89.51
22-Apr-96,180.488
08-May-96,161.74
24-May-96,292.456
09-Jun-96,93.329
25-Jun-96,80.039
11-Jul-96,66.576
27-Jul-96,49.827
12-Aug-96,60.865
28-Aug-96,35.423
29-Sep-96,298.857
08-Mar-97,
24-Mar-97,186.813
09-Apr-97,276.973
25-Apr-97,
11-May-97,126.646
27-May-97,102.133
12-Jun-97,
28-Jun-97,
14-Jul-97,
30-Jul-97,
15-Aug-97,47.51
31-Aug-97,155.838
16-Sep-97,207.356
11-Mar-98,151.792
27-Mar-98,178.344
12-Apr-98,167.52
28-Apr-98,72.35
14-May-98,128.501
30-May-98,97.755
15-Jun-98,73.04
01-Jul-98,
17-Jul-98,
02-Aug-98,100.879
18-Aug-98,
03-Sep-98,113.869
19-Sep-98,
14-Mar-99,251.751
30-Mar-99,
15-Apr-99,243.598
01-May-99,187.445
17-May-99,139.481
02-Jun-99,57.262
18-Jun-99,134.795
04-Jul-99,
20-Jul-99,
28-Jul-99,
05-Aug-99,255.433
13-Aug-99,
21-Aug-99,108.766
06-Sep-99,
22-Sep-99,167.249
08-Mar-00,266.946
16-Mar-00,141.621
17-Apr-00,106.868
25-Apr-00,59.374
03-May-00,158.501
19-May-00,49.771
04-Jun-00,
12-Jun-00,54.548
20-Jun-00,93.784
06-Jul-00,78.342
22-Jul-00,
07-Aug-00,
15-Aug-00,53.594
23-Aug-00,94.802
31-Aug-00,19.129
08-Sep-00,
24-Sep-00,194.028
03-Mar-01,73.931
11-Mar-01,155.311
19-Mar-01,20.324
04-Apr-01,59.447
20-Apr-01,
28-Apr-01,70.634
06-May-01,
22-May-01,
15-Jun-01,
01-Jul-01,
09-Jul-01,
25-Jul-01,
10-Aug-01,171.981
18-Aug-01,106.569
26-Aug-01,65.107
11-Sep-01,22.872
19-Sep-01,108.971
27-Sep-01,
06-Mar-02,
22-Mar-02,48.973
15-Apr-02,
01-May-02,8.262
25-May-02,45.296
02-Jun-02,
10-Jun-02,7.837
12-Jul-02,
20-Jul-02,
28-Jul-02,
13-Aug-02,
06-Sep-02,
17-Mar-03,
20-May-03,6.092
24-Aug-03,
25-Sep-03,
03-Mar-04,108.481
19-Mar-04,
04-Apr-04,44.549
20-Apr-04,22.919
06-May-04,62.859
22-May-04,
23-Jun-04,
09-Jul-04,
25-Jul-04,
10-Aug-04,
26-Aug-04,24.697
27-Sep-04,
22-Mar-05,93.892
07-Apr-05,
23-Apr-05,26.606
09-May-05,
13-Aug-05,
29-Aug-05,46.964
14-Sep-05,26.966
30-Sep-05,
09-Mar-06,
25-Mar-06,
10-Apr-06,
26-Apr-06,46.647
12-May-06,9.237
28-May-06,47.937
13-Jun-06,5.585
29-Jun-06,
15-Jul-06,
01-Sep-06,51.883
17-Sep-06,198.037
